cbbb8b,1f68c,bus,🚌
cbc07d,1f1f8-1f1f9,flag_st,🇸🇹
cbc6bb,1f6a6,vertical_traffic_light,🚦
cbd0ce,1f359,rice_ball,🍙
cbd1c3,1f41d,bee,🐝
cbd2d6,1f6e1,shield,🛡
cc9399,1f1f9-1f1f9,flag_tt,🇹🇹
ccacad,1f1f8-1f1fe,flag_sy,🇸🇾
ccae71,1f1ec-1f1ed,flag_gh,🇬🇭
ccb093,1f1f8-1f1f7,flag_sr,🇸🇷
ccb1ab,1f4da,books,📚
cccccc,25aa,black_small_square,▪
cccdce,1f987,bat,🦇
cccecf,1f3b6,notes,🎶
ccd6dd,2696,scales,⚖
ccdbb8,1f334,palm_tree,🌴
ccdbdf,1f6b2,bike,🚲
ccdfad,1f952,cucumber,🥒
cce3ba,1f3bf,ski,🎿
cda88b,1f1f9-1f1e9,flag_td,🇹🇩
cdb8c5,1f1f5-1f1fe,flag_py,🇵🇾
cdbb8a,1f1ec-1f1fe,flag_gy,🇬🇾
cdc4b1,2692,hammer_pick,⚒
cdc8be,1f985,eagle,🦅
cdcfd0,2797,heavy_division_sign,➗
cddce3,1f1fa-1f1fe,flag_uy,🇺🇾
cdde92,1f47d,alien,👽
cde7de,1f343,leaves,🍃
cdeff1,2733,eight_spoked_asterisk,✳
cea984,1f1e7-1f1eb,flag_bf,🇧🇫
ceacac,1f1ea-1f1ec,flag_eg,🇪🇬
ceb4a1,1f649,hear_no_evil,🙉
ceb587,1f1e6-1f1e9,flag_ad,🇦🇩
ceb6a5,1f402,ox,🐂
ceb77c,1f1ec-1f1e9,flag_gd,🇬🇩
ceb8a6,1f435,monkey_face,🐵
ceba87,1f1e8-1f1f4,flag_co,🇨🇴
cec790,1f696,oncoming_taxi,🚖
cecca2,1f3dc,desert,🏜
cecdb1,1f1e9-1f1ff,flag_dz,🇩🇿
cecece,1f3c1,checkered_flag,🏁
cecfd0,1f39e,film_frames,🎞
ced1c4,1f986,duck,🦆
cedcb5,1f957,salad,🥗
ceeff5,2604,comet,☄
cef2f4,27bf,loop,➿
cf9584,1f1e7-1f1fe,flag_by,🇧🇾
cfa5b6,1f1f3-1f1f4,flag_no,🇳🇴
cfaaa9,1f54d,synagogue,🕍
cfabb1,1f5d3,calendar_spiral,🗓
cfac6f,1f36f,honey_pot,🍯
cfb3ab,1f69c,tractor,🚜
cfb6c6,1f1f8-1f1f0,flag_sk,🇸🇰
cfb887,1f1ea-1f1e8,flag_ec,🇪🇨
cfbf9c,1f3e1,house_with_garden,🏡
cfc0b5,1f3fa,amphora,🏺
cfc3a9,1f1f0-1f1f2,flag_km,🇰🇲
cfc5b3,1f989,owl,🦉
cfc6d7,1f3a0,carousel_horse,🎠
cfcdcb,1f427,penguin,🐧
cfcdcf,1f640,scream_cat,🙀
cfd3d5,1f3bc,musical_score,🎼
cfd4d7,1f529,nut_and_bolt,🔩
cfdbe0,1f6a4,speedboat,🚤
d08296,1f1fc-1f1f8,flag_ws,🇼🇸
d09d7b,1f1e9-1f1ea,flag_de,🇩🇪
d0aab1,1f1e8-1f1f7,flag_cr,🇨🇷
d0afb9,1f4e2,loudspeaker,📢
d0b5b9,1f6a1,aerial_tramway,🚡
d0b7be,1f1f7-1f1f8,flag_rs,🇷🇸
d0cba4,1f4b0,moneybag,💰
d0cbbc,1f6b4,bicyclist,🚴
d0d3ab,1f422,turtle,🐢
d0d6db,1f3e5,hospital,🏥
d0d9c5,1f6a3,rowboat,🚣
d1b8c6,1f1ed-1f1f7,flag_hr,🇭🇷
d1bccb,1f1f5-1f1e6,flag_pa,🇵🇦
d1becd,1f1fc-1f1eb,flag_wf,🇼🇫
d1c9cb,1f404,cow2,🐄
d1cbb6,1f6e0,tools,🛠
d1cfcb,1f362,oden,🍢
d1d4c3,1f3cb,lifter,🏋
d1d4d6,1f459,bikini,👙
d1d5ca,1f39a,level_slider,🎚
d1dad7,1f3e8,hotel,🏨
d1dbb4,1f3d6,beach,🏖
d1df84,1f922,nauseated_face,🤢
d1dfd4,1f3ca,swimmer,🏊
d1e0e8,1f4e8,incoming_envelope,📨
d1ebf8,1f43e,feet,🐾
d2a978,1f1e7-1f1ea,flag_be,🇧🇪
d2acf3,1f194,id,🆔
d2b174,1f1ec-1f1fc,flag_gw,🇬🇼
d2b7b3,1f6cc,sleeping_accommodation,🛌
d2bfce,1f1f3-1f1f1,flag_nl,🇳🇱
d2c0cf,1f1eb-1f1f7,flag_fr,🇫🇷
d2d3b4,1f526,flashlight,🔦
d2d4d4,1f399,microphone2,🎙
d2d5db,1f63f,crying_cat_face,😿
d2d6d8,1f5d2,notepad_spiral,🗒
d3b39c,1f4e6,package,📦
d3b6a1,1f954,potato,🥔
d3b776,1f1e7-1f1f4,flag_bo,🇧🇴
d3becb,1f3c9,rugby_football,🏉
d3c2b4,1f3c7,horse_racing,🏇
d3c4c3,1f42e,cow,🐮
d3c4ca,1f36d,lollipop,🍭
d3c9ba,1f6a7,construction,🚧
d3d1d3,1f63a,smiley_cat,😺
d3d2d2,1f5dc,compression,🗜
d3d4d6,2734,eight_pointed_black_star,✴
d3d9dd,1f6f3,cruise_ship,🛳
d3e1ea,1f32c,wind_blowing_face,🌬
d4af9b,1f1e8-1f1eb,flag_cf,🇨🇫
d4b084,1f1fa-1f1ec,flag_ug,🇺🇬
d4b1f3,1f233,u7a7a,🈳
d4b6f3,1f48e,gem,💎
d4cdd3,1f6e5,motorboat,🛥
d4d1d1,1f480,skull,💀
d4dad8,1f5a8,printer,🖨
d4e0e6,1f573,hole,🕳
d5a3b3,1f1e8-1f1f1,flag_cl,🇨🇱
d5b2f4,1f239,u5272,🈹
d5b37b,1f1e8-1f1ec,flag_cg,🇨🇬
d5b973,1f50f,lock_with_ink_pen,🔏
d5bba8,1f648,see_no_evil,🙈
d5bfb6,1f3ce,race_car,🏎
d5c4a7,1f1e7-1f1ec,flag_bg,🇧🇬
d5c89a,1f34d,pineapple,🍍
d5c9d1,1f4e9,envelope_with_arrow,📩
d5cbad,1f935,man_in_tuxedo,🤵
d5cbaf,1f4e5,inbox_tray,📥
d5cdcc,1f400,rat,🐀
d5d3d5,1f638,smile_cat,😸
d5d5d5,2b1c,white_large_square,⬜
d5d6d7,1f4f0,newspaper,📰
d5dce0,1f509,sound,🔉
d5dde3,2709,envelope,✉
d5e4e0,26f2,fountain,⛲
